wk_ending,state,deaths_st,cases_st,pop_st,deaths_pc_st,cases_pc_st,st_code,wk_tests,tests_pc,cum_all_doses,cum_1st_doses,wk_all_doses,wk_1st_doses,curr_date
2021-03-09,Kentucky,854,74140,36620,0.023320589841616602,0.023320589841616602,KY,27778352,6.173392389253482,1293847,872816,247012,181216,NA
2021-03-09,Louisiana,858,44305,70436,0.012181270940996082,0.012181270940996082,LA,39760198,8.559452593871496,1277889,817746,201313,129460,NA
2021-03-09,Maine,183,12957,74678,0.0024505209030772114,0.0024505209030772114,ME,11627125,8.639628025174805,430790,283647,74980,52294,NA
2021-03-09,Maryland,1430,74571,232526,0.006149849909257459,0.006149849909257459,MD,56375627,9.267551355225608,1671778,1078909,307633,203227,NA
2021-03-09,Massachusetts,3499,113972,405441,0.008630108943101462,0.008630108943101462,MA,116917782,16.75856176360978,2199086,1503663,395558,232543,NA
2021-03-09,Michigan,4181,104229,114791,0.03642271606659059,0.03642271606659059,MI,74224297,7.389178397212544,2765577,1756350,408318,268397,NA
2021-03-09,Minnesota,1620,102109,63366,0.025565760818104345,0.025565760818104345,MN,49539750,8.690162735257434,1725656,1141657,296025,185485,NA
2021-03-09,Mississippi,396,19848,35430,0.01117696867061812,0.01117696867061812,MS,12340903,4.12841405565257,776272,505343,139156,85519,NA
2021-03-09,Missouri,2039,89599,56155,0.0363102128038465,0.0363102128038465,MO,31870939,5.166079455105709,1633864,1054384,258837,160046,NA
2021-03-09,Montana,238,16350,18427,0.012915830032018235,0.012915830032018235,MT,7707776,7.09243623247083,341554,218026,56875,27900,NA
2021-03-09,Nebraska,636,64526,20362,0.031234652784598763,0.031234652784598763,NE,16912981,8.66190763967489,573413,371505,97098,59876,NA
2021-03-09,Nevada,3947,229156,162113,0.024347214597225393,0.024347214597225393,NV,19332262,6.1574380665422375,855890,545228,140769,81840,NA
2021-03-09,New Hampshire,584,29089,113309,0.005154047780847064,0.005154047780847064,NH,10405076,7.588022607110301,393931,289813,69125,61976,NA
2021-03-09,New Jersey,2710,81125,386182,0.007017416658466734,0.007017416658466734,NJ,76905654,8.605723896304735,2571874,1709368,475376,316505,NA
2021-03-09,New Mexico,879,53229,59909,0.014672252916924002,0.014672252916924002,NM,19359208,9.233443986568986,833881,528613,122269,69672,NA
2021-03-09,New York,9280,220450,303961,0.030530232496932173,0.030530232496932173,NY,275738699,14.18372464699982,5640706,3746905,1057090,792047,NA
2021-03-09,North Carolina,881,98308,102824,0.008568038590212402,0.008568038590212402,NC,67782854,6.387438064814029,2881950,1859566,356371,224776,NA
2021-03-09,North Dakota,196,21550,13855,0.014146517502706605,0.014146517502706605,ND,9960531,13.076316456244593,277845,178686,39260,24673,NA
2021-03-09,Ohio,2038,113458,129878,0.015691649086065386,0.015691649086065386,OH,71508577,6.087027843748138,3203772,2053511,542928,324935,NA
